frame_num,is_drowsy,left_eye_closed,right_eye_closed,continuous_time,error_code
106,-1,False,False,0.0,LOW_FACE_CONFIDENCE
107,-1,False,False,0.0,LOW_FACE_CONFIDENCE
108,-1,False,False,0.0,LOW_FACE_CONFIDENCE
109,-1,False,False,0.0,LOW_FACE_CONFIDENCE
110,-1,False,False,0.0,LOW_FACE_CONFIDENCE
111,-1,False,False,0.0,LOW_FACE_CONFIDENCE
112,-1,False,False,0.0,LOW_FACE_CONFIDENCE
113,-1,False,False,0.0,LOW_FACE_CONFIDENCE
114,-1,False,False,0.0,LOW_FACE_CONFIDENCE
115,-1,False,False,0.0,LOW_FACE_CONFIDENCE
116,-1,False,False,0.0,LOW_FACE_CONFIDENCE
117,-1,False,False,0.0,LOW_FACE_CONFIDENCE
118,-1,False,False,0.0,LOW_FACE_CONFIDENCE
119,-1,False,False,0.0,LOW_FACE_CONFIDENCE
120,-1,False,False,0.0,LOW_FACE_CONFIDENCE
121,-1,False,False,0.0,LOW_FACE_CONFIDENCE
122,-1,False,False,0.0,LOW_FACE_CONFIDENCE
123,-1,False,False,0.0,LOW_FACE_CONFIDENCE
124,-1,False,False,0.0,LOW_FACE_CONFIDENCE
125,-1,False,False,0.0,LOW_FACE_CONFIDENCE
126,-1,False,False,0.0,LOW_FACE_CONFIDENCE
127,-1,False,False,0.0,LOW_FACE_CONFIDENCE
128,-1,False,False,0.0,LOW_FACE_CONFIDENCE
129,-1,False,False,0.0,LOW_FACE_CONFIDENCE
130,-1,False,False,0.0,LOW_FACE_CONFIDENCE
131,-1,False,False,0.0,LOW_FACE_CONFIDENCE
132,-1,False,False,0.0,LOW_FACE_CONFIDENCE
133,-1,False,False,0.0,LOW_FACE_CONFIDENCE
134,-1,False,False,0.0,LOW_FACE_CONFIDENCE
135,-1,False,False,0.0,LOW_FACE_CONFIDENCE
136,-1,False,False,0.0,LOW_FACE_CONFIDENCE
137,-1,False,False,0.0,LOW_FACE_CONFIDENCE
138,-1,False,False,0.0,LOW_FACE_CONFIDENCE
139,-1,False,False,0.0,LOW_FACE_CONFIDENCE
140,-1,False,False,0.0,LOW_FACE_CONFIDENCE
141,-1,False,False,0.0,LOW_FACE_CONFIDENCE
142,-1,False,False,0.0,LOW_FACE_CONFIDENCE
143,-1,False,False,0.0,LOW_FACE_CONFIDENCE
144,-1,False,False,0.0,LOW_FACE_CONFIDENCE
145,-1,False,False,0.0,LOW_FACE_CONFIDENCE
146,-1,False,False,0.0,LOW_FACE_CONFIDENCE
147,-1,False,False,0.0,LOW_FACE_CONFIDENCE
148,-1,False,False,0.0,LOW_FACE_CONFIDENCE
149,-1,False,False,0.0,LOW_FACE_CONFIDENCE
150,-1,False,False,0.0,LOW_FACE_CONFIDENCE
151,-1,False,False,0.0,LOW_FACE_CONFIDENCE
152,-1,False,False,0.0,LOW_FACE_CONFIDENCE
153,-1,False,False,0.0,LOW_FACE_CONFIDENCE
154,-1,False,False,0.0,LOW_FACE_CONFIDENCE
