frame,leye_openness,reye_openness,confidence,face_yaw,face_pitch,nose_length,normal_vector,distance_x,distance_y,triangle_area,eye_distance,sunglasses_detected,eye_roi_width,eye_roi_height,left_eye_x,left_eye_y,left_eye_z,right_eye_x,right_eye_y,right_eye_z,nose_tip_x,nose_tip_y,nose_tip_z,nose_bridge_x,nose_bridge_y,nose_bridge_z,triangle_center_x,triangle_center_y
1,0.2059562270166495,0.18555294893592775,1.0,1.0,-16.0,52.91056729941034,0.6559116075744262,2,-32,2493.0,106.01886624558857,False,78,46,0.42956721782684326,0.5064800381660461,0.016043834388256073,0.5944265723228455,0.5038878321647644,0.016050070524215698,0.51478111743927,0.603574275970459,-0.05654545873403549,0.5113162994384766,0.49344077706336975,-0.021928254514932632,327,257
2,0.20209445968452103,0.18649357864727256,1.0,1.0,-16.5,53.86932603083393,0.6649986109806834,2,-33,2600.0,106.01886624558857,False,78,46,0.42927730083465576,0.5071352124214172,0.017407413572072983,0.5946471095085144,0.5025216937065125,0.01722906157374382,0.5157292485237122,0.606366753578186,-0.057720083743333817,0.5126591324806213,0.49421367049217224,-0.021342115476727486,328,258
3,0.19352315523649857,0.18217728518602744,1.0,1.0,-16.5,54.513700013424945,0.6718149384858157,2,-33,2652.0,107.0420478129973,False,78,46,0.42963287234306335,0.5063561201095581,0.01574077643454075,0.5954645872116089,0.5016447305679321,0.016423746943473816,0.5165371298789978,0.6080712080001831,-0.05764137953519821,0.5134168267250061,0.49457722902297974,-0.022832242771983147,328,258
4,0.18696620712364487,0.17012637720388762,1.0,1.0,-16.5,54.38757963649679,0.6787836673226244,2,-33,2602.5,105.04284840006957,False,78,46,0.4305988550186157,0.5064398646354675,0.017045000568032265,0.595002293586731,0.5015550255775452,0.017296001315116882,0.5163545608520508,0.6070703864097595,-0.057803258299827576,0.513076663017273,0.4938472509384155,-0.021804969757795334,328,258
5,0.19266086477643807,0.17140547921046184,1.0,1.0,-17.0,54.64761929834861,0.6791730821512446,2,-34,2652.0,106.01886624558857,False,78,46,0.43084219098091125,0.5055461525917053,0.01600571908056736,0.595661461353302,0.5005217790603638,0.01674428954720497,0.5165954828262329,0.6070265173912048,-0.05803002789616585,0.5135170817375183,0.49325132369995117,-0.022767076268792152,328,257
6,0.19228152710046514,0.1714041646604468,1.0,1.0,-17.0,54.93312357843446,0.6791730821512446,2,-34,2652.0,106.01886624558857,False,78,46,0.43122199177742004,0.5054892897605896,0.016319507732987404,0.5957877039909363,0.5012915134429932,0.01675267517566681,0.5165524482727051,0.6077858209609985,-0.05822700634598732,0.5137341022491455,0.49340352416038513,-0.02265254408121109,328,257
7,0.19596223056907322,0.17450551162092315,1.0,1.0,-17.0,55.01233054857458,0.6791730821512446,2,-34,2652.0,106.01886624558857,False,78,46,0.4312334954738617,0.5046800971031189,0.016239183023571968,0.5955862998962402,0.5008573532104492,0.01607455499470234,0.5162829160690308,0.6077110171318054,-0.057761188596487045,0.5134482979774475,0.4931643307209015,-0.02274308353662491,328,257
8,0.19655343310156626,0.17454063299817144,1.0,0.5,-17.0,54.90704848259161,0.685971389117861,1,-34,2626.5,105.01904589168576,False,78,46,0.4316125512123108,0.5049088001251221,0.016086842864751816,0.5957949161529541,0.5005574822425842,0.01630483940243721,0.5171085000038147,0.6071431636810303,-0.05764645338058472,0.5140113830566406,0.49282804131507874,-0.022620582953095436,329,257
9,0.19395321648306083,0.17682194584555913,1.0,1.0,-17.0,54.67825685147421,0.6791730821512446,2,-34,2652.0,106.01886624558857,False,78,46,0.4320283532142639,0.5046352744102478,0.01610344462096691,0.597019612789154,0.5003336071968079,0.017227085307240486,0.5182939171791077,0.6064897775650024,-0.05827943608164787,0.5152422189712524,0.4926494359970093,-0.02252071164548397,329,257
10,0.1943193025565694,0.17765535923756395,1.0,1.0,-17.0,54.7683192157405,0.6791730821512446,2,-34,2652.0,106.01886624558857,False,78,46,0.4325825572013855,0.5041777491569519,0.01646084524691105,0.5977081060409546,0.5008357167243958,0.017346888780593872,0.5184448957443237,0.6066626310348511,-0.058171458542346954,0.5157570242881775,0.49261826276779175,-0.022206833586096764,329,257
11,0.19636454418565724,0.17653262052032193,1.0,1.0,-17.0,54.746399043407834,0.6791730821512446,2,-34,2652.0,106.01886624558857,False,78,46,0.43242669105529785,0.5049570798873901,0.01621580310165882,0.5980631113052368,0.500503420829773,0.016344795003533363,0.5184991359710693,0.6069103479385376,-0.058070674538612366,0.5157809257507324,0.4929129481315613,-0.02292572893202305,329,257
12,0.19775994693593418,0.177993243150708,1.0,1.0,-17.0,54.96068772622494,0.6791730821512446,2,-34,2652.0,106.01886624558857,False,78,46,0.43346354365348816,0.5044857263565063,0.016246600076556206,0.599121630191803,0.5010478496551514,0.01751181297004223,0.5195304155349731,0.6068615317344666,-0.058188438415527344,0.5165954232215881,0.4924269914627075,-0.022251389920711517,330,257
13,0.1941149463884346,0.17928705974829204,1.0,1.0,-16.5,54.93055463500726,0.6649986109806834,2,-33,2600.0,106.01886624558857,False,78,46,0.4338604807853699,0.5042983889579773,0.0163403507322073,0.5992860794067383,0.5007732510566711,0.01763148047029972,0.5204702615737915,0.6061322093009949,-0.05833520367741585,0.5174494385719299,0.49176445603370667,-0.022190632298588753,331,257
14,0.19633151399606744,0.17914505199711545,1.0,1.0,-17.0,55.192209152018854,0.6729577605972352,2,-34,2703.0,107.00467279516349,False,78,46,0.43418943881988525,0.5039035081863403,0.016389325261116028,0.6001057028770447,0.5005766153335571,0.01784323900938034,0.5208932161331177,0.6068246960639954,-0.058393239974975586,0.5180597901344299,0.49190300703048706,-0.02210155688226223,331,257
15,0.19980228204185776,0.17865193312371824,1.0,1.0,-16.5,54.811835819671614,0.6722200899248701,2,-33,2624.5,106.00471687618433,False,78,46,0.43486931920051575,0.5039838552474976,0.01644960604608059,0.6006126999855042,0.5002906918525696,0.017597556114196777,0.5211645364761353,0.6054565906524658,-0.058621637523174286,0.5183825492858887,0.4913255274295807,-0.02226061373949051,331,257
16,0.2008408959746707,0.18240128717632392,1.0,1.0,-16.5,54.992848209013935,0.6722200899248701,2,-33,2624.5,106.00471687618433,False,78,46,0.43491727113723755,0.5037715435028076,0.0165228471159935,0.60062175989151,0.5004764795303345,0.01850343681871891,0.5216591954231262,0.6056255102157593,-0.058673519641160965,0.5186141133308411,0.4911290407180786,-0.02178642712533474,331,257
17,0.19621287741165108,0.1841165482712239,1.0,1.0,-17.0,55.19579811888009,0.6796231182915479,2,-34,2677.5,106.00471687618433,False,78,46,0.43521997332572937,0.5031479001045227,0.016272330656647682,0.6013146042823792,0.5003277659416199,0.017697619274258614,0.5213955640792847,0.6063904762268066,-0.05865000560879707,0.5187689065933228,0.49145257472991943,-0.02230842225253582,331,257
18,0.19920241170333,0.1853785617474517,1.0,1.0,-16.5,54.88968880190291,0.6722200899248701,2,-33,2624.5,106.00471687618433,False,78,46,0.4357101321220398,0.5035030245780945,0.016638627275824547,0.6013658046722412,0.5001468658447266,0.01742434687912464,0.5215345621109009,0.6055636405944824,-0.05829450115561485,0.5190756320953369,0.4912571310997009,-0.022134708240628242,331,257
19,0.19981658463713076,0.18124781128867495,1.0,1.0,-16.5,54.856046441752866,0.665508971490982,2,-33,2649.5,107.00467279516349,False,78,46,0.43575334548950195,0.5035045742988586,0.016516344621777534,0.6015627384185791,0.5002790093421936,0.017939019948244095,0.5218862295150757,0.6052866578102112,-0.05843634903430939,0.5189980864524841,0.49106812477111816,-0.022047072649002075,332,257
20,0.1977757935435117,0.18075405621505458,1.0,1.0,-16.5,54.819459867984776,0.665508971490982,2,-33,2649.5,107.00467279516349,False,78,46,0.43574410676956177,0.5030333995819092,0.016041450202465057,0.601717472076416,0.5002733469009399,0.018473410978913307,0.5228044986724854,0.6047097444534302,-0.05866151675581932,0.5200955271720886,0.4905596673488617,-0.022066090255975723,332,257
